20220517	15:46:11	6cdec5b8-f406-4ab3-a4bd-920deb4a3f95	GET	http://localhost:3000	/refresh
20220517	15:46:11	07cbc98a-c3b0-4882-ad66-8a23d146b21f	GET	http://localhost:3000	/refresh
20220517	15:46:20	1e59289a-8119-4c1a-b3b3-2194692380eb	OPTIONS	http://localhost:3000	/auth
20220517	15:46:20	a3990f0e-c5f5-4170-9436-76eae2d628c3	POST	http://localhost:3000	/auth
20220517	15:47:17	9330ddbc-2f1e-4d04-85ed-20439e9eee06	GET	http://localhost:3000	/refresh
20220517	15:47:17	e700a50e-9df9-445c-89a7-75e64dc6ba47	GET	http://localhost:3000	/refresh
20220517	15:47:29	9cce979b-200e-4a17-9d63-656e633158a0	GET	http://localhost:3000	/logout
20220517	15:47:31	d0c28730-ae67-468a-8885-629a31060fe5	GET	http://localhost:3000	/refresh
20220517	15:47:31	bd7c8a42-c45c-49f7-9694-bef939869a02	GET	http://localhost:3000	/refresh
20220517	15:47:34	71e8d195-3724-4b8e-88a1-6c8d1b9be99e	OPTIONS	http://localhost:3000	/auth
20220517	15:47:34	78991f9b-e909-4b22-b059-ba2fd25f72eb	POST	http://localhost:3000	/auth
20220517	15:49:48	9025bb8f-e96d-4c38-99bf-62a0d8a9c43d	GET	http://localhost:3000	/refresh
20220517	15:49:48	aa0d4b51-420d-412d-b37a-782947de9cdf	GET	http://localhost:3000	/refresh
20220517	15:49:59	f13c1bc9-18f0-41d4-981d-8c1816a1edf4	GET	http://localhost:3000	/refresh
20220517	15:49:59	ba532705-a420-43c2-a846-a8b28ef1de25	GET	http://localhost:3000	/refresh
20220517	15:50:01	e595e4c2-36f8-44a0-98fe-60b8c86aa1aa	GET	http://localhost:3000	/logout
20220517	15:50:04	7509788e-b1de-4e15-8ad1-748f4dee0f70	OPTIONS	http://localhost:3000	/auth
20220517	15:50:04	325af7e4-d56e-4ef4-b143-2e49fde3b2b0	POST	http://localhost:3000	/auth
20220517	15:50:42	2640ce97-f956-40b8-9f70-3f5019113771	GET	http://localhost:3000	/refresh
20220517	15:50:42	6dac6e3d-5ee0-48cd-b8e3-1a73f451392b	GET	http://localhost:3000	/refresh
20220517	15:53:25	ea6b83da-8d8a-4f29-b244-8c79e3780d97	GET	http://localhost:3000	/refresh
20220517	15:53:25	43cdf8a4-bdfe-427f-9565-92182c32d141	GET	http://localhost:3000	/refresh
20220517	15:53:25	fc08b934-e052-4c90-9917-0e809b673842	OPTIONS	http://localhost:3000	/users
20220517	15:53:25	fd4e4c65-9b24-4420-8e29-b4c1f81cd799	GET	http://localhost:3000	/users
20220517	15:54:46	136c4879-8930-4bee-af37-035af938ca49	GET	http://localhost:3000	/refresh
20220517	15:54:46	1fa1cbd7-b46e-4b80-b39c-049cbd163e31	GET	http://localhost:3000	/refresh
20220517	15:55:17	de9fa1e9-57d3-4e69-81b6-f94e57df1e4a	GET	http://localhost:3000	/refresh
20220517	15:55:17	892908d7-6e06-4b5e-8597-e0f67ab5fb47	GET	http://localhost:3000	/refresh
20220517	15:56:33	2ec050bd-50f4-4d6f-8536-b047dbfba19b	GET	http://localhost:3000	/refresh
20220517	15:56:33	bf52d835-1879-477f-add7-58b964e50d4c	GET	http://localhost:3000	/refresh
20220517	15:57:19	baff9ca4-1d09-499e-94be-fd312d699d24	GET	http://localhost:3000	/logout
20220517	15:57:19	985384d0-d78f-4427-acb2-b7c2631831bd	GET	http://localhost:3000	/refresh
20220517	15:57:19	cb689d1a-1196-4f3e-8bb0-e99b85192500	GET	http://localhost:3000	/refresh
20220517	15:58:02	9741f3d6-238a-4026-9ed8-afefb77b1fed	GET	http://localhost:3000	/refresh
20220517	15:58:02	fe25a743-4ab4-4957-9113-275de3c4293b	GET	http://localhost:3000	/refresh
20220517	16:04:40	518e29f9-fc83-47d5-9132-076e8a2a0455	OPTIONS	http://localhost:3000	/auth
20220517	16:04:40	60d3da08-61ff-40ac-a5e6-8db4e38a7e35	POST	http://localhost:3000	/auth
20220517	16:06:27	77c8a197-7a7b-45ef-9a7d-e292da383f27	GET	http://localhost:3000	/refresh
20220517	16:06:27	f52a60ed-fec8-48c0-b396-10e3d8ffc66b	GET	http://localhost:3000	/refresh
20220517	16:06:39	60016ea3-b1cf-461f-952e-471667015cb6	GET	http://localhost:3000	/refresh
20220517	16:06:39	aade3198-4a45-4935-b673-21d6e3a7aaf0	GET	http://localhost:3000	/refresh
